geoid10,Sum_acres_res,Sum_acres_sf8_7,prct_sf,CNTY,TRACT,BG,Total_pop,White_non_Hisp,Black_non_Hisp,AIAN_non_Hisp,API_non_Hisp,Other_2_non_Hisp,Hispanic_or_Latino,Total_Minority,pWhite_non_Hisp,pBlack_non_Hisp,pAIAN_non_Hisp,pAPI_non_Hisp,pOther_2__non_Hisp,pHispanic_or_Latino,pTotal_Minority,White__Black,White_AIAN,White__API,White__Other_2_,White__Hispanic,White__Minority,Black__AIAN,Black__API,Black__Other_2_,Black__Hispanic,AIAN__Asian,AIAN__Other_2_,AIAN__Hispanic,API__Other_2_,API__Hispanic,Other_2___Hispanic
5.3033E+11,99.9508408,99.9508408,1,33,500,2,839,700,0,0,73,29,37,139,0.0003,0,0,0.0001,0.0001,0.0001,0.0001,2.6378,2.6378,1.3614,1.4675,1.7347,1.7007,0,-1.2763,-1.1703,-0.9031,-1.2763,-1.1703,-0.9031,0.1061,0.3733,0.2672
5.3033E+11,160.7710042,160.7710042,1,33,500,3,944,717,0,0,134,57,36,227,0.0003,0,0,0.0002,0.0002,0.0001,0.0002,2.7018,2.7018,0.3589,0.4016,1.8232,1.1716,0,-2.3429,-2.3002,-0.8787,-2.3429,-2.3002,-0.8787,0.0427,1.4642,1.4215
5.3033E+11,222.5905044,158.3016819,0.711178953,33,600,1,1279,794,111,70,180,104,20,485,0.0003,0.0005,0.0024,0.0003,0.0004,0,0.0003,-1.9342,-21.4519,-0.1552,-1.2049,2.5038,-0.2775,-19.5177,1.779,0.7293,4.438,21.2968,20.2471,23.9558,-1.0497,2.659,3.7087
5.3033E+11,61.11421781,45.67668314,0.747398638,33,600,2,1107,692,62,0,175,137,41,415,0.0003,0.0003,0,0.0003,0.0006,0.0001,0.0003,-0.1439,2.6076,-0.4521,-2.9209,1.6069,-0.19,2.7515,-0.3082,-2.777,1.7508,-3.0597,-5.5285,-1.0007,-2.4688,2.059,4.5278
5.3033E+11,202.8051044,113.4525355,0.559416568,33,600,3,1685,748,240,0,298,28,371,937,0.0003,0.0011,0,0.0005,0.0001,0.0009,0.0006,-7.8325,2.8186,-2.3917,1.6887,-6.2364,-3.4978,10.6511,5.4409,9.5212,1.5961,-5.2103,-1.1299,-9.0551,4.0804,-3.8448,-7.9252
5.3033E+11,240.7631494,89.36520565,0.371174766,33,600,4,1701,1218,123,0,185,143,32,483,0.0005,0.0005,0,0.0003,0.0006,0.0001,0.0003,-0.869,4.5897,1.3551,-1.181,3.8087,1.3337,5.4587,2.2241,-0.3119,4.6777,-3.2346,-5.7706,-0.781,-2.5361,2.4535,4.9896
5.3033E+11,139.0275088,139.0275088,1,33,600,5,1150,500,165,0,146,43,296,650,0.0002,0.0007,0,0.0003,0.0002,0.0007,0.0004,-5.4385,1.8841,-0.6686,0.1489,-5.3404,-2.4976,7.3227,4.77,5.5874,0.0981,-2.5527,-1.7352,-7.2245,0.8175,-4.6718,-5.4893
5.3033E+11,82.01687054,66.51133235,0.810946966,33,600,6,1281,927,111,0,110,27,106,354,0.0003,0.0005,0,0.0002,0.0001,0.0003,0.0002,-1.433,3.4931,1.5699,2.4036,0.906,1.1068,4.9262,3.0029,3.8366,2.339,-1.9233,-1.0896,-2.5872,0.8337,-0.6639,-1.4976
5.3033E+11,51.15968566,1.434706184,0.028043686,33,700,1,1705,835,64,0,365,50,391,870,0.0003,0.0003,0,0.0006,0.0002,0.001,0.0006,0.3062,3.1465,-3.2353,1.1288,-6.3968,-2.7183,2.8403,-3.5414,0.8226,-6.7029,-6.3817,-2.0177,-9.5432,4.364,-3.1615,-7.5255
5.3033E+11,107.9862757,73.56074565,0.68120458,33,700,2,1629,628,543,3,204,71,180,1001,0.0002,0.0024,0.0001,0.0004,0.0003,0.0004,0.0007,-21.7318,1.3188,-1.2003,-0.4987,-2.0269,-4.3814,23.0506,20.5314,21.2331,19.7049,-2.5192,-1.8175,-3.3457,0.7016,-0.8265,-1.5282
