FID,Join_Count,TARGET_FID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,FID_FLU_di,OBJECTID,Jurisdicti,Juris_zn,Zone_adj,Jurisdic_1,Zone_adj_1,Juris_zn_1,Key,Definition,Res_Use,MaxDU_Res
489,1,489,53,33,31904,2,530330319042.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
490,1,490,53,33,31904,1,530330319041.0,576,579,King,King_RA-10,RA-10,King,RA-10,King_RA-10,King_RA-10,Rural area,Y,0.1
491,1,491,53,33,31906,1,530330319061.0,577,580,King,King_RA-2.5,RA-2.5,King,RA-2.5,King_RA-2.5,King_RA-2.5,Rural area,Y,0.4
492,1,492,53,33,21803,1,530330218031.0,170,171,Bothell,"Bothell_R 9,600","R 9,600",Bothell,"R 9,600","Bothell_R 9,600",Bothell_R-9600,Residential 9600 min lot,Y,4.53
493,1,493,53,33,31909,1,530330319091.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
494,1,494,53,33,22003,3,530330220033.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
495,1,495,53,33,22003,1,530330220031.0,-1,0, , , , , , , , , ,0
496,1,496,53,33,22201,1,530330222011.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
497,1,497,53,33,22201,2,530330222012.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
498,1,498,53,33,22605,1,530330226051.0,-1,0, , , , , , , , , ,0
499,1,499,53,33,22201,4,530330222014.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
500,1,500,53,33,22201,3,530330222013.0,-1,0, , , , , , , , , ,0
501,1,501,53,33,22202,1,530330222021.0,-1,0, , , , , , , , , ,0
502,1,502,53,33,22202,4,530330222024.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
503,1,503,53,33,10800,1,530330108001.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
504,1,504,53,33,10702,1,530330107021.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
505,1,505,53,33,10702,3,530330107023.0,-1,0, , , , , , , , , ,0
506,1,506,53,33,10701,2,530330107012.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
507,1,507,53,33,10701,1,530330107011.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
508,1,508,53,33,10600,2,530330106002.0,-1,0, , , , , , , , , ,0
509,1,509,53,33,10600,6,530330106006.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
510,1,510,53,33,10600,5,530330106005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
511,1,511,53,33,10600,4,530330106004.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
512,1,512,53,33,10600,3,530330106003.0,-1,0, , , , , , , , , ,0
513,1,513,53,33,10600,1,530330106001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
514,1,514,53,33,10500,4,530330105004.0,-1,0, , , , , , , , , ,0
515,1,515,53,33,10500,5,530330105005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
516,1,516,53,33,4200,5,530330042005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
517,1,517,53,33,4200,4,530330042004.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
518,1,518,53,33,4200,3,530330042003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
519,1,519,53,33,4200,2,530330042002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
520,1,520,53,33,4200,1,530330042001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
521,1,521,53,33,4100,6,530330041006.0,1396,1404,Seattle,Seattle_SF 9600,SF 9600,Seattle,SF 9600,Seattle_SF 9600,Seattle_SF 9600,Single family residential,Y,4.53
522,1,522,53,33,4100,5,530330041005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
523,1,523,53,33,4100,4,530330041004.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
524,1,524,53,33,4100,2,530330041002.0,-1,0, , , , , , , , , ,0
525,1,525,53,33,4100,1,530330041001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
526,1,526,53,33,4000,2,530330040002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
527,1,527,53,33,4000,1,530330040001.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
528,1,528,53,33,24702,4,530330247024.0,112,113,Bellevue,Bellevue_R-5,R-5,Bellevue,R-5,Bellevue_R-5,Bellevue_R-5,Single family residential,Y,5
529,1,529,53,33,5600,2,530330056002.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
530,1,530,53,33,25102,2,530330251022.0,-1,0, , , , , , , , , ,0
531,1,531,53,33,25601,2,530330256012.0,1113,1121,Renton,Renton_RMH,RMH,Renton,RMH,Renton_RMH,Renton_RMH,Residential manufactured home,Y,10
532,1,532,53,33,25805,1,530330258051.0,-1,0, , , , , , , , , ,0
533,1,533,53,33,25805,2,530330258052.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
534,1,534,53,33,25806,2,530330258062.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
535,1,535,53,33,29101,1,530330291011.0,-1,0, , , , , , , , , ,0
536,1,536,53,33,29205,1,530330292051.0,-1,0, , , , , , , , , ,0
537,1,537,53,33,31704,1,530330317041.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
538,1,538,53,33,31204,5,530330312045.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
539,1,539,53,33,31601,2,530330316012.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
540,1,540,53,33,31205,3,530330312053.0,38,39,Auburn,Auburn_R5,R5,Auburn,R5,Auburn_R5,Auburn_R-5,Residential zone - 5 DU/acre,Y,5
541,1,541,53,33,31301,2,530330313012.0,561,564,King,King_A-35,A-35,King,A-35,King_A-35,King_A-35,Agricultural,Y,0.02
542,1,542,53,33,31502,2,530330315022.0,561,564,King,King_A-35,A-35,King,A-35,King_A-35,King_A-35,Agricultural,Y,0.02
543,1,543,53,33,32212,3,530330322123.0,1132,1140,Sammamish,Sammamish_R-6,R-6,Sammamish,R-6,Sammamish_R-6,Sammamish_R-6,Residential 6,Y,6
544,1,544,53,33,32002,1,530330320021.0,-1,0, , , , , , , , , ,0
545,1,545,53,33,31907,2,530330319072.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
546,1,546,53,33,27200,2,530330272002.0,-1,0, , , , , , , , , ,0
547,1,547,53,33,27200,1,530330272001.0,1581,1589,Tukwila,Tukwila_LDR,LDR,Tukwila,LDR,Tukwila_LDR,Tukwila_LDR,Low density residential,Y,6.7
548,1,548,53,33,27100,1,530330271001.0,-1,0, , , , , , , , , ,0
549,1,549,53,33,27000,3,530330270003.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
550,1,550,53,33,27000,2,530330270002.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
551,1,551,53,33,27000,1,530330270001.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
552,1,552,53,33,26802,4,530330268024.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
553,1,553,53,33,26802,3,530330268023.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
554,1,554,53,33,26802,2,530330268022.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
555,1,555,53,33,26802,1,530330268021.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
556,1,556,53,33,32103,1,530330321031.0,-1,0, , , , , , , , , ,0
557,1,557,53,33,31908,2,530330319082.0,-1,0, , , , , , , , , ,0
558,1,558,53,33,31907,3,530330319073.0,-1,0, , , , , , , , , ,0
559,1,559,53,33,31908,3,530330319083.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
560,1,560,53,33,32103,2,530330321032.0,-1,0, , , , , , , , , ,0
561,1,561,53,33,32313,2,530330323132.0,-1,0, , , , , , , , , ,0
562,1,562,53,33,30503,2,530330305032.0,-1,0, , , , , , , , , ,0
563,1,563,53,33,30501,2,530330305012.0,-1,0, , , , , , , , , ,0
564,1,564,53,33,30501,1,530330305011.0,-1,0, , , , , , , , , ,0
565,1,565,53,33,30404,3,530330304043.0,-1,0, , , , , , , , , ,0
566,1,566,53,33,30404,2,530330304042.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
567,1,567,53,33,29306,1,530330293061.0,559,562,Kent,Kent_SR-8,SR-8,Kent,SR-8,Kent_SR-8,Kent_SR-8,Single family residential,Y,8.71
568,1,568,53,33,29305,4,530330293054.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
569,1,569,53,33,29305,3,530330293053.0,1108,1116,Renton,Renton_R-4,R-4,Renton,R-4,Renton_R-4,Renton_R-4,Residential 4,Y,4
570,1,570,53,33,29305,2,530330293052.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
571,1,571,53,33,29305,1,530330293051.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
572,1,572,53,33,29304,4,530330293044.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
573,1,573,53,33,29304,3,530330293043.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
574,1,574,53,33,31906,2,530330319062.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
575,1,575,53,33,32800,3,530330328003.0,563,566,King,King_F,F,King,F,King_F,King_F,Forest,Y,0.01
576,1,576,53,33,31301,1,530330313011.0,560,563,King,King_A-10,A-10,King,A-10,King_A-10,King_A-10,Agricultural,Y,0.1
577,1,577,53,33,31302,1,530330313021.0,-1,0, , , , , , , , , ,0
578,1,578,53,33,32311,4,530330323114.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
579,1,579,53,33,32315,2,530330323152.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
580,1,580,53,33,32328,2,530330323282.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
581,1,581,53,33,22300,2,530330223002.0,683,686,Kirkland,Kirkland_RSA 4,RSA 4,Kirkland,RSA 4,Kirkland_RSA 4,Kirkland_RSA 4,Single family residential,Y,4
582,1,582,53,33,23100,3,530330231003.0,-1,0, , , , , , , , , ,0
583,1,583,53,33,32323,2,530330323232.0,-1,0, , , , , , , , , ,0
584,1,584,53,33,32323,4,530330323234.0,1082,1090,Redmond,Redmond_R-4,R-4,Redmond,R-4,Redmond_R-4,Redmond_R-4,Single family urban,Y,8
585,1,585,53,33,32323,1,530330323231.0,1082,1090,Redmond,Redmond_R-4,R-4,Redmond,R-4,Redmond_R-4,Redmond_R-4,Single family urban,Y,8
586,1,586,53,33,10500,3,530330105003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
587,1,587,53,33,10500,2,530330105002.0,-1,0, , , , , , , , , ,0
588,1,588,53,33,10500,1,530330105001.0,-1,0, , , , , , , , , ,0
589,1,589,53,33,10402,2,530330104022.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
590,1,590,53,33,10402,4,530330104024.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
591,1,591,53,33,10402,1,530330104021.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
592,1,592,53,33,10401,1,530330104011.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
593,1,593,53,33,10300,5,530330103005.0,-1,0, , , , , , , , , ,0
594,1,594,53,33,10300,4,530330103004.0,-1,0, , , , , , , , , ,0
595,1,595,53,33,10300,3,530330103003.0,-1,0, , , , , , , , , ,0
596,1,596,53,33,10300,2,530330103002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
597,1,597,53,33,10300,1,530330103001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
598,1,598,53,33,10200,1,530330102001.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
599,1,599,53,33,10200,3,530330102003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
600,1,600,53,33,10100,4,530330101004.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
601,1,601,53,33,3800,2,530330038002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
602,1,602,53,33,3800,1,530330038001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
603,1,603,53,33,3600,4,530330036004.0,-1,0, , , , , , , , , ,0
604,1,604,53,33,3600,3,530330036003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
605,1,605,53,33,3600,2,530330036002.0,-1,0, , , , , , , , , ,0
606,1,606,53,33,3600,1,530330036001.0,-1,0, , , , , , , , , ,0
607,1,607,53,33,3500,3,530330035003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
608,1,608,53,33,3500,2,530330035002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
609,1,609,53,33,3500,1,530330035001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
610,1,610,53,33,3400,2,530330034002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
611,1,611,53,33,3400,3,530330034003.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
612,1,612,53,33,3400,1,530330034001.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
613,1,613,53,33,3300,5,530330033005.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
614,1,614,53,33,3300,4,530330033004.0,-1,0, , , , , , , , , ,0
615,1,615,53,33,3300,3,530330033003.0,-1,0, , , , , , , , , ,0
616,1,616,53,33,3300,2,530330033002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
617,1,617,53,33,29102,3,530330291023.0,568,571,King,King_R-1,R-1,King,R-1,King_R-1,King_R-1,Residential,Y,1
618,1,618,53,33,29102,1,530330291021.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
619,1,619,53,33,29602,3,530330296023.0,-1,0, , , , , , , , , ,0
620,1,620,53,33,29602,2,530330296022.0,35,36,Auburn,Auburn_R1,R1,Auburn,R1,Auburn_R1,Auburn_R-1,Residential zone - 1 DU/acre,Y,1
621,1,621,53,33,29204,4,530330292044.0,-1,0, , , , , , , , , ,0
622,1,622,53,33,29204,1,530330292041.0,-1,0, , , , , , , , , ,0
623,1,623,53,33,32326,2,530330323262.0,577,580,King,King_RA-2.5,RA-2.5,King,RA-2.5,King_RA-2.5,King_RA-2.5,Rural area,Y,0.4
624,1,624,53,33,31908,1,530330319081.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
625,1,625,53,33,32005,5,530330320055.0,235,236,Covington,Covington_R-01,R-01,Covington,R-01,Covington_R-01,Covington_US(R-1),Urban separator,Y,1
626,1,626,53,33,32008,2,530330320082.0,1646,1654,MapleValley,MapleValley_R-6,R-6,MapleValley,R-6,MapleValley_R-6,MapleValley_R-6,Low density residential,Y,6
627,1,627,53,33,32104,2,530330321042.0,497,500,Issaquah,Issaquah_SF-S,SF-S,Issaquah,SF-S,Issaquah_SF-S,Issaquah_SF-S,Single family - suburban,Y,4.5
628,1,628,53,33,32315,1,530330323151.0,561,564,King,King_A-35,A-35,King,A-35,King_A-35,King_A-35,Agricultural,Y,0.02
629,1,629,53,33,26801,3,530330268013.0,-1,0, , , , , , , , , ,0
630,1,630,53,33,26801,4,530330268014.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
631,1,631,53,33,26801,2,530330268012.0,-1,0, , , , , , , , , ,0
632,1,632,53,33,26801,1,530330268011.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
633,1,633,53,33,26700,4,530330267004.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
634,1,634,53,33,26700,3,530330267003.0,218,219,Burien,"Burien_RS-7,200","RS-7,200",Burien,"RS-7,200","Burien_RS-7,200",Burien_RS-7200,Residential single family 7200,Y,6.05
635,1,635,53,33,26700,2,530330267002.0,217,218,Burien,"Burien_RS-12,000","RS-12,000",Burien,"RS-12,000","Burien_RS-12,000",Burien_RS-12000,Residential single family  12000,Y,3.63
636,1,636,53,33,26700,1,530330267001.0,-1,0, , , , , , , , , ,0
637,1,637,53,33,26600,2,530330266002.0,-1,0, , , , , , , , , ,0
638,1,638,53,33,26600,1,530330266001.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
639,1,639,53,33,26500,1,530330265001.0,-1,0, , , , , , , , , ,0
640,1,640,53,33,26400,5,530330264005.0,-1,0, , , , , , , , , ,0
641,1,641,53,33,32328,3,530330323283.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
642,1,642,53,33,25602,2,530330256022.0,568,571,King,King_R-1,R-1,King,R-1,King_R-1,King_R-1,Residential,Y,1
643,1,643,53,33,32315,3,530330323153.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
644,1,644,53,33,32317,4,530330323174.0,1131,1139,Sammamish,Sammamish_R-4,R-4,Sammamish,R-4,Sammamish_R-4,Sammamish_R-4,Residential 4,Y,4
645,1,645,53,33,32317,5,530330323175.0,1131,1139,Sammamish,Sammamish_R-4,R-4,Sammamish,R-4,Sammamish_R-4,Sammamish_R-4,Residential 4,Y,4
646,1,646,53,33,32317,2,530330323172.0,1131,1139,Sammamish,Sammamish_R-4,R-4,Sammamish,R-4,Sammamish_R-4,Sammamish_R-4,Residential 4,Y,4
647,1,647,53,33,30404,1,530330304041.0,-1,0, , , , , , , , , ,0
648,1,648,53,33,30403,3,530330304033.0,882,885,Milton,Milton_RS,RS,Milton,RS,Milton_RS,Milton_RS,Residential,Y,7.26
649,1,649,53,33,30403,2,530330304032.0,405,408,FederalWay,FederalWay_RS35.0,RS35.0,FederalWay,RS35.0,FederalWay_RS35.0,FederalWay_RS-35,Single family 35000,Y,1.24
650,1,650,53,33,30403,1,530330304031.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
651,1,651,53,33,30401,5,530330304015.0,572,575,King,King_R-4,R-4,King,R-4,King_R-4,King_R-4,Residential,Y,6
652,1,652,53,33,30401,4,530330304014.0,-1,0, , , , , , , , , ,0
653,1,653,53,33,30401,3,530330304013.0,-1,0, , , , , , , , , ,0
654,1,654,53,33,29304,2,530330293042.0,574,577,King,King_R-6,R-6,King,R-6,King_R-6,King_R-6,Residential,Y,9
655,1,655,53,33,29304,1,530330293041.0,1108,1116,Renton,Renton_R-4,R-4,Renton,R-4,Renton_R-4,Renton_R-4,Residential 4,Y,4
656,1,656,53,33,29303,4,530330293034.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
657,1,657,53,33,29303,2,530330293032.0,1109,1117,Renton,Renton_R-6,R-6,Renton,R-6,Renton_R-6,Renton_R-6,Residential 6,Y,6
658,1,658,53,33,29303,1,530330293031.0,1110,1118,Renton,Renton_R-8,R-8,Renton,R-8,Renton_R-8,Renton_R-8,Residential 8,Y,8
659,1,659,53,33,29204,3,530330292043.0,557,560,Kent,Kent_SR-4.5,SR-4.5,Kent,SR-4.5,Kent_SR-4.5,Kent_SR-4.5,Single family residential,Y,4.53
660,1,660,53,33,29204,2,530330292042.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
661,1,661,53,33,29203,2,530330292032.0,558,561,Kent,Kent_SR-6,SR-6,Kent,SR-6,Kent_SR-6,Kent_SR-6,Single family residential,Y,6.05
662,1,662,53,33,29203,1,530330292031.0,-1,0, , , , , , , , , ,0
663,1,663,53,33,29206,3,530330292063.0,-1,0, , , , , , , , , ,0
664,1,664,53,33,32317,3,530330323173.0,1132,1140,Sammamish,Sammamish_R-6,R-6,Sammamish,R-6,Sammamish_R-6,Sammamish_R-6,Residential 6,Y,6
665,1,665,53,33,21906,1,530330219061.0,1625,1633,Woodinville,Woodinville_R-4,R-4,Woodinville,R-4,Woodinville_R-4,Woodinville_R-4,Residential,Y,4
666,1,666,53,33,32307,4,530330323074.0,577,580,King,King_RA-2.5,RA-2.5,King,RA-2.5,King_RA-2.5,King_RA-2.5,Rural area,Y,0.4
667,1,667,53,33,32307,2,530330323072.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
668,1,668,53,33,32307,1,530330323071.0,578,581,King,King_RA-5,RA-5,King,RA-5,King_RA-5,King_RA-5,Rural area,Y,0.2
669,1,669,53,33,21600,1,530330216001.0,524,527,Kenmore,Kenmore_R-6,R-6,Kenmore,R-6,Kenmore_R-6,Kenmore_R-6,Residential 6,Y,9
670,1,670,53,33,21600,2,530330216002.0,-1,0, , , , , , , , , ,0
671,1,671,53,33,21600,3,530330216003.0,524,527,Kenmore,Kenmore_R-6,R-6,Kenmore,R-6,Kenmore_R-6,Kenmore_R-6,Residential 6,Y,9
672,1,672,53,33,21700,1,530330217001.0,-1,0, , , , , , , , , ,0
673,1,673,53,33,21906,2,530330219062.0,1625,1633,Woodinville,Woodinville_R-4,R-4,Woodinville,R-4,Woodinville_R-4,Woodinville_R-4,Residential,Y,4
674,1,674,53,33,22500,2,530330225002.0,681,684,Kirkland,Kirkland_RS 8.5,RS 8.5,Kirkland,RS 8.5,Kirkland_RS 8.5,Kirkland_RS 8.5,Single family residential,Y,5.12
675,1,675,53,33,21903,3,530330219033.0,684,687,Kirkland,Kirkland_RSA 6,RSA 6,Kirkland,RSA 6,Kirkland_RSA 6,Kirkland_RSA 6,Single family residential,Y,6
676,1,676,53,33,10100,3,530330101003.0,-1,0, , , , , , , , , ,0
677,1,677,53,33,10100,2,530330101002.0,1394,1402,Seattle,Seattle_SF 5000,SF 5000,Seattle,SF 5000,Seattle_SF 5000,Seattle_SF 5000,Single family residential,Y,8.71
678,1,678,53,33,10100,1,530330101001.0,1395,1403,Seattle,Seattle_SF 7200,SF 7200,Seattle,SF 7200,Seattle_SF 7200,Seattle_SF 7200,Single family residential,Y,6.05
679,1,679,53,33,10002,4,530330100024.0,-1,0, , , , , , , , , ,0
